srun: job 13589923 queued and waiting for resources
srun: job 13589923 has been allocated resources

===== KINETIC ENERGY TABLE =====
Step   CPU Kinetic    GPU Kinetic
   0      9825.7500000000      9825.7500000000
   1      9815.6718750000      9815.6718750000
   2      9807.5517578125      9807.5517578125
   3      9800.5105590820      9800.5105590820
   4      9794.1804008484      9794.1804008484
   5      9788.3648660183      9788.3648660183
   6      9782.9442716241      9782.9442716241
   7      9777.8392561441      9777.8392561441
   8      9772.9939809932      9772.9939809932
   9      9768.3673883978      9768.3673883978
  10      9763.9282409494      9763.9282409494
  11      9759.6521164267      9759.6521164267
  12      9755.5194909142      9755.5194909142
  13      9751.5144640482      9751.5144640481
  14      9747.6238815465      9747.6238815465
  15      9743.8367134177      9743.8367134177
  16      9740.1436022909      9740.1436022909
  17      9736.5365282158      9736.5365282158
  18      9733.0085552019      9733.0085552019
  19      9729.5536363777      9729.5536363777
  20      9726.1664620047      9726.1664620047
  21      9722.8423393577      9722.8423393577
  22      9719.5770966678      9719.5770966678
  23      9716.3670054834      9716.3670054835
  24      9713.2087173107      9713.2087173107
  25      9710.0992114454      9710.0992114454
  26      9707.0357516738      9707.0357516738
  27      9704.0158500632      9704.0158500632
  28      9701.0372364747      9701.0372364747
  29      9698.0978327289      9698.0978327289
  30      9695.1957305853      9695.1957305853
  31      9692.3291728691      9692.3291728691
  32      9689.4965372111      9689.4965372111
  33      9686.6963219732      9686.6963219732
  34      9683.9271340097      9683.9271340097
  35      9681.1876779796      9681.1876779796
  36      9678.4767469774      9678.4767469773
  37      9675.7932142871      9675.7932142871
  38      9673.1360261012      9673.1360261012
  39      9670.5041950674      9670.5041950674
  40      9667.8967945535      9667.8967945535
  41      9665.3129535329      9665.3129535329
  42      9662.7518520124      9662.7518520124
  43      9660.2127169321      9660.2127169321
  44      9657.6948184797      9657.6948184797
  45      9655.1974667696      9655.1974667696
  46      9652.7200088426      9652.7200088426
  47      9650.2618259499      9650.2618259498
  48      9647.8223310890      9647.8223310890
  49      9645.4009667636      9645.4009667636
  50      9642.9972029422      9642.9972029422
  51      9640.6105351957      9640.6105351957
  52      9638.2404829941      9638.2404829941
  53      9635.8865881467      9635.8865881466
  54      9633.5484133700      9633.5484133700
  55      9631.2255409732      9631.2255409732
  56      9628.9175716466      9628.9175716465
  57      9626.6241233457      9626.6241233457
  58      9624.3448302610      9624.3448302610
  59      9622.0793418653      9622.0793418653
  60      9619.8273220316      9619.8273220316
  61      9617.5884482162      9617.5884482162
  62      9615.3624106998      9615.3624106998
  63      9613.1489118827      9613.1489118826
  64      9610.9476656288      9610.9476656288
  65      9608.7583966553      9608.7583966553
  66      9606.5808399625      9606.5808399624
  67      9604.4147403025      9604.4147403025
  68      9602.2598516826      9602.2598516826
  69      9600.1159369002      9600.1159369002
  70      9597.9827671083      9597.9827671083
  71      9595.8601214073      9595.8601214072
  72      9593.7477864627      9593.7477864626
  73      9591.6455561462      9591.6455561462
  74      9589.5532311982      9589.5532311982
  75      9587.4706189105      9587.4706189104
  76      9585.3975328272      9585.3975328272
  77      9583.3337924639      9583.3337924638
  78      9581.2792230419      9581.2792230419
  79      9579.2336552384      9579.2336552384
  80      9577.1969249495      9577.1969249494
  81      9575.1688730674      9575.1688730673
  82      9573.1493452689      9573.1493452689
  83      9571.1381918161      9571.1381918161
  84      9569.1352673666      9569.1352673665
  85      9567.1404307943      9567.1404307943
  86      9565.1535450202      9565.1535450202
  87      9563.1744768502      9563.1744768502
  88      9561.2030968226      9561.2030968226
  89      9559.2392790626      9559.2392790626
  90      9557.2829011443      9557.2829011443
  91      9555.3338439591      9555.3338439591
  92      9553.3919915908      9553.3919915907
  93      9551.4572311965      9551.4572311964
  94      9549.5294528935      9549.5294528935
  95      9547.6085496511      9547.6085496511
  96      9545.6944171879      9545.6944171878
  97      9543.7869538729      9543.7869538729
  98      9541.8860606325      9541.8860606325
  99      9539.9916408606      9539.9916408606
 100      9538.1036003331      9538.1036003330
 101      9536.2218471261      9536.2218471260
 102      9534.3462915378      9534.3462915378
 103      9532.4768460141      9532.4768460141
 104      9530.6134250763      9530.6134250762
 105      9528.7559452531      9528.7559452530
 106      9526.9043250149      9526.9043250149
 107      9525.0584847111      9525.0584847110
 108      9523.2183465093      9523.2183465092
 109      9521.3838343380      9521.3838343379
 110      9519.5548738310      9519.5548738310
 111      9517.7313922743      9517.7313922743
 112      9515.9133185549      9515.9133185548
 113      9514.1005831113      9514.1005831113
 114      9512.2931178875      9512.2931178875
 115      9510.4908562867      9510.4908562867
 116      9508.6937331280      9508.6937331279
 117      9506.9016846047      9506.9016846047
